TVD,LocalX,LocalY,Inc,Az,Angle,Radians,AxisSize,Cx,Cy,Cz
8513.366,478.8015,136.2726,0.7,125.91,265,4.625122518,97.09676745,-8.462540886,-96.72728494,0
8702.356,480.5573,135.5149,0.5,95.61,270,4.71238898,91.41925992,-1.68E-14,-91.41925992,0
8890.353,481.6983,135.3872,0.2,98.31,275,4.799655443,86.07153081,7.501628197,-85.74400265,0
9079.35,482.6006,135.0176,0.4,119.21,280,4.886921906,81.2963983,14.11697142,-80.06132334,0
9266.348,482.7752,134.41,0.3,233.81,285,4.974188368,77.3573033,20.02154337,-74.72141711,0
9454.347,482.7551,134.4357,0.3,50.01,290,5.061454831,74.514705,25.48553008,-70.02091843,0
9643.343,482.5625,135.5614,0.6,324.71,295,5.148721293,72.9869054,30.84559909,-66.14860072,0
9831.334,481.5925,137.0803,0.5,330.71,300,5.235987756,72.90364124,36.45182062,-63.13640534,0
10019.33,480.7784,138.0638,0.3,303.01,305,5.323254219,74.27225587,42.60081584,-60.84027023,0
10207.32,479.686,139.2576,0.7,323.71,310,5.410520681,76.97564134,49.4789885,-58.9667623,0
10395.3,477.7201,140.9083,0.9,299.41,315,5.497787144,80.80322613,57.13650914,-57.13650914,0
10585.29,476.963,143.2078,1,19.11,320,5.585053606,85.49710179,65.49457973,-54.95647769,0
10774.26,479.1815,145.4543,1.1,67.71,325,5.672320069,90.79267931,74.37300886,-52.07654145,0
10868.23,481.1911,146.1622,1.5,72.71,330,5.759586532,96.44409949,83.52304021,-48.22204975,0
10962.16,484.1835,144.5229,3.3,137.81,335,5.846852994,102.2353368,92.65668181,-43.20652031,0
11056.1,488.3963,131.9598,13.1,167.31,340,5.934119457,107.9821721,101.4700503,-36.93207797,0
11101.39,490.6283,119.6512,17.8,171.51,345,6.021385919,113.5297912,109.6613574,-29.38367214,0
11145.53,492.4035,103.6485,22.3,175.41,350,6.108652382,118.7489691,116.9449054,-20.62054208,0
11188.33,493.079,84.2637,26.5,180.21,355,6.195918845,123.5322904,123.0622127,-10.76654852,0
11230.75,492.4229,61.8207,29.3,183.01,360,6.283185307,127.790954,127.790954,-3.13E-14,0
11271.16,491.359,37.8517,32.1,182.11,,,,,,
11310.28,490.3294,11.8318,35.2,182.41,,,,,,
11348.11,488.7318,-16.0087,37.6,184.11,,,,,,
11384.58,486.8473,-45.5865,40.6,183.21,,,,,,
11419.28,485.1873,-77.2298,44.2,182.81,,,,,,
11450.62,483.0266,-109.4381,47.5,184.81,,,,,,
11480.73,480.7195,-145.4304,52.8,182.61,,,,,,
11506.37,479.395,-184.7459,61,181.31,,,,,,
11526.18,477.6928,-227.2875,69.1,183.21,,,,,,
11534.73,476.2138,-252.8492,74,183.41,,,,,,
11545.65,473.4153,-298.4592,79.1,183.61,,,,,,
11554.26,470.5866,-344.5777,79.8,183.41,,,,,,
11562.5,467.9553,-390.7744,80,183.11,,,,,,
11570.61,466.2879,-436.0213,79.7,181.11,,,,,,
11576.95,466.5304,-482.5712,84.8,178.31,,,,,,
11584.48,471.389,-577.1374,86.1,175.81,,,,,,
11592.43,479.7773,-670.4158,84.2,173.91,,,,,,
11600.71,489.8172,-764.5172,85.8,173.91,,,,,,
11602.63,493.234,-795.2677,87.1,173.41,,,,,,
11603.72,496.2374,-827.104,89,175.81,,,,,,
11603.96,498.1243,-858.0443,90.1,177.21,,,,,,
11603.5,499.498,-889.0094,91.6,177.71,,,,,,
11602.14,500.5525,-920.9614,93.3,178.51,,,,,,
11600.27,500.7421,-952.9039,93.4,180.81,,,,,,
11595.75,497.5301,-1046.7324,92.1,183.11,,,,,,
11595.1,492.7588,-1140.5949,88.7,182.71,,,,,,
11594.85,489.4623,-1234.5244,91.6,181.31,,,,,,
11592.2,487.9541,-1329.4746,91.6,180.51,,,,,,
11590.31,486.6255,-1423.4449,90.7,181.11,,,,,,
11591.97,485.7796,-1518.411,87.3,179.91,,,,,,
11596.97,486.0089,-1612.277,86.6,179.81,,,,,,
11601.86,485.7438,-1707.1491,87.5,180.51,,,,,,
11604.08,484.4152,-1801.1069,89.8,181.11,,,,,,
11601.86,481.9395,-1895.036,92.9,181.91,,,,,,
11596.97,478.6119,-1989.8516,93,182.11,,,,,,
11593.77,474.8254,-2083.7154,90.9,182.51,,,,,,
11594.51,470.8731,-2177.6206,88.2,182.31,,,,,,
11596.17,466.7962,-2272.5154,89.8,182.61,,,,,,
11596.91,461.6967,-2366.3726,89.3,183.61,,,,,,
11600.19,455.9457,-2460.131,86.7,183.41,,,,,,
11605.49,450.0559,-2554.7997,86.9,183.71,,,,,,
11608.28,446.5172,-2648.6708,89.7,180.61,,,,,,
11609.44,446.169,-2743.6616,88.9,179.81,,,,,,
11607.7,447.0636,-2838.6185,93.2,179.11,,,,,,
11604.43,447.8836,-2934.551,90.7,179.91,,,,,,
11603.45,447.9492,-3028.5458,90.5,180.01,,,,,,
11602.3,448.1788,-3122.5382,90.9,179.71,,,,,,
11602.14,448.4109,-3217.5346,89.3,180.01,,,,,,
11603.37,448.6406,-3311.5261,89.2,179.71,,,,,,
11604.6,449.1163,-3405.5168,89.3,179.71,,,,,,
11605.59,449.7629,-3500.5093,89.5,179.51,,,,,,
11606.17,451.305,-3594.4939,89.8,178.61,,,,,,
11606.9,453.8312,-3688.4566,89.3,178.31,,,,,,
11608.55,456.9308,-3782.3905,88.7,177.91,,,,,,
11609.71,460.9749,-3877.295,89.9,177.21,,,,,,
11609.05,465.2225,-3971.1953,90.9,177.61,,,,,,
11607.64,469.8462,-4066.0715,90.8,176.81,,,,,,
11605.92,473.0277,-4159.9941,91.3,179.31,,,,,,
11604.09,473.0028,-4254.9739,90.9,180.72,,,,,,
11603.35,470.2426,-4349.9256,90,182.61,,,,,,
11606.46,465.8834,-4443.7555,86.2,182.71,,,,,,
11612.51,462.3104,-4538.4939,86.5,181.61,,,,,,
11617.51,460.902,-4632.3465,87.4,180.11,,,,,,
11622.11,461.6229,-4726.2299,87,179.01,,,,,,
11624.73,463.6564,-4820.1616,89.8,178.51,,,,,,
11625.14,466.9552,-4915.1021,89.7,177.51,,,,,,
11623.73,470.9161,-5010.0026,92,177.71,,,,,,
11620.13,474.5056,-5103.8645,92.4,177.91,,,,,,
11616.48,478.1332,-5198.7249,92,177.71,,,,,,
11612.42,480.2704,-5293.6082,92.9,179.71,,,,,,
11608.97,480.3357,-5387.5417,91.3,180.21,,,,,,
11608.64,479.1586,-5482.5268,89.1,181.21,,,,,,
11613.61,477.0731,-5577.3524,84.9,181.31,,,,,,
11618.2,474.1068,-5671.1669,89.5,182.31,,,,,,
11618.12,470.195,-5766.0848,90.6,182.41,,,,,,
