MD,TVD,LocalX,LocalY,Inc,Az,Angle,Radians,AxisSize,Cx,Cy,Cz
20269,10806,-7391.17,-6037.33,91.13,222.89,,,,,,
20364,10804.96,-7462.03,-6100.59,90.13,220.62,,,,,,
20458,10803.9,-7532.86,-6162.38,91.16,221.58,,,,,,
20553,10802.06,-7602.85,-6226.58,91.05,223.48,,,,,,
20648,10800.84,-7671.88,-6291.83,90.43,223.3,,,,,,
20743,10800.17,-7742.06,-6355.86,90.38,221.45,,,,,,
20837,10799.66,-7813.56,-6416.86,90.24,219.49,,,,,,
20932,10800.15,-7887.23,-6476.85,89.17,218.82,,,,,,
21027,10801.03,-7959.42,-6538.57,89.76,222.24,,,,,,
21122,10801.73,-8028.35,-6603.93,89.4,224.71,,,,,,
21217,10803.03,-8096.22,-6670.39,89.03,224.09,,,,,,
21262,10803.53,-8128.26,-6701.98,89.71,225.11,,,,,,
