TVD,LocalX,LocalY,MD,Inc,Az(Grid)
-11632.77,463.3378,-6332.4767,17807,89.4,178.81
-11633.59,465.6999,-6426.4431,17901,89.6,178.31
-11632.27,469.0809,-6521.3661,17996,92,177.61
-11628.58,472.7521,-6615.2215,18090,92.5,177.91
-11625.34,475.5519,-6710.1229,18185,91.4,178.71
-11623.7,478.1598,-6804.0712,18279,90.6,178.11
-11623.7,480.5219,-6898.03885,18373,89.4,179.01
-11624.61,482.329,-6993.01723,18468,89.5,178.81
-11625.11,484.8821,-7087.98083,18563,89.9,178.11
-11626.18,486.9162,-7181.94931,18657,88.8,179.41
-11629.05,487.4739,-7275.90207,18751,87.7,179.91
-11631.62,487.4572,-7370.86454,18846,89.2,180.11
-11633.29,487.2269,-7490.85263,18966,89.2,180.11
