x,y,z
-119.9153925,-70.66375832,0
-57.77506506,-59.85954256,2412.453328
185.375752,91.37892017,6265.230804
170.717723,295.9816517,10021.78036
167.6856007,-316.2238529,11808.86795
219.6150688,-1626.63965,12004.58271
171.3148549,-3502.902472,12087.7
146.2686464,-5487.6247,12139.17079
131.3966601,-6428.747209,12243.96918
94.01874796,-7496.214617,12290.09584
831.2154564,-7486.009639,11839.26422
785.3972689,-6424.202675,11808.69596
757.0057846,-5478.119537,11783.02197
702.2734064,-3498.294651,11751.44127
699.1065751,-1599.146612,11736.70189
611.7177924,-202.5262722,11698.86634
563.4972756,300.4700628,10019.74726
332.2362986,369.0310538,6274.890441
-47.87131216,175.0894478,2428.230143
-37.01235761,62.80944427,0
119.9153925,70.66375832,0
139.5912651,34.10294256,2405.238672
476.207448,91.42967983,6243.877196
790.839077,-19.85405175,10016.87964
784.7419993,-189.4745471,11260.59205
752.4027312,-1597.91435,11189.35729
728.2109451,-3498.116128,11123.48
812.0485536,-5477.4289,11078.10921
800.0031399,-6424.138991,11023.21082
880.435052,-7485.490635,10976.48416
143.2383436,-7495.695613,11427.31578
146.0025311,-6428.683525,11458.48404
201.3114154,-5486.934063,11434.25803
197.2523936,-3502.723949,11459.73873
272.9112249,-1625.407388,11457.23811
340.7098076,-303.1721278,11370.59366
398.0595244,-24.34246276,10018.91274
329.3469014,-186.2224538,6234.217559
129.6875122,-200.8460478,2389.461857
37.01235761,-62.80944427,0
